Prest.,Atleta,Anno,Società,Città,Data
11:20.08,MASCITTI Rita,68,ATL. AVIS S.BENEDETTO DEL TR.,Ancona,07/03/2014
11:22.44,BOTTONI Enrica,97,ATLETICA FUTURA A.S.D.,Firenze,18/02/2014
11:23.16,SCHEGGIA Letizia,90,ATL. RECANATI,Ancona,05/02/2014
11:23.63,CONT Cumy,96,LAGARINA CRUS TEAM,Padova,08/02/2014
11:26.77,FERRARI Anna,96,ATL. CENTRO LARIO,Genova,25/01/2014
11:27.12,SANTONI Loredana,69,S.E.F. STAMURA ANCONA A.S.D.,Ancona,07/03/2014
11:28.24,BRASSINI Alice,83,POL. LIB. CERNUSCHESE,Parma,25/01/2014
11:28.32,DE LORENZO Barbara,71,ASD RUNNERS CHIETI,Ancona,07/03/2014
11:30.74,BARONE Francesca,58,AMATORI ATL. CASORATE S.,Ancona,07/03/2014
11:32.55,VITALE Alba,62,ASD ENTERPRISE SPORT & SERVICE,Ancona,07/03/2014
11:34.85,LORENZONI Maria,57,ATLETICA 85 FAENZA,Ancona,07/03/2014
11:35.37,SERRA Eleonora,73,ATLETICA VARAZZE,Genova,08/02/2014
11:37.26,LORENZONI Maria,57,ATLETICA 85 FAENZA,Padova,23/02/2014
11:37.97,LORENZONI Maria,57,ATLETICA 85 FAENZA,Padova,08/02/2014
11:40.98,CARDOSO Lopes donzilia,61,ATL. ERBA,Ancona,07/03/2014
11:41.27,PASSERINI Patrizia,62,ACQUADELA BOLOGNA,Padova,08/02/2014
11:44.52,GROSSO Chiara,90,CUS PISA ATLETICA CASCINA,Firenze,18/02/2014
11:49.35,PASSERINI Patrizia,62,ACQUADELA BOLOGNA,Ancona,07/03/2014
11:50.67,MARCHETTI Lisa jasmine,98,G.S. ORECCHIELLA GARFAGNANA,Firenze,18/02/2014
11:51.65,CINTIOLI Martina,98,TEAM ATLETICA MARCHE,Ancona,05/02/2014
11:53.28,ARRIGHI Chiara,91,CUS PISA ATLETICA CASCINA,Firenze,18/02/2014
11:53.50,LUCAFERRO Manuela,63,ATL. VIGHENZI PADENGHE,Ancona,07/03/2014
11:54.19,CERISE Nicole,93,ATLETICA COGNE AOSTA,Padova,18/01/2014
12:03.82,SIMONI Laura,91,ATLETICA FIRENZE MARATHON S.S.,Firenze,18/02/2014
12:04.12,BARLETTA Cinzia,57,A.S.D. LIBERATLETICA,Ancona,07/03/2014
12:05.68,LUCAFERRO Manuela,63,ATL. VIGHENZI PADENGHE,Padova,08/02/2014
12:06.69,SCHOB Susanne,61,ASSI GIGLIO ROSSO FIRENZE,Ancona,07/03/2014
12:06.82,BARLETTA Cinzia,57,A.S.D. LIBERATLETICA,Budapest,27/03/2014
12:08.10,PIGNATARO Roberta,65,S.E.F. MACERATA,Ancona,07/03/2014
12:09.35,SCARAMUCCI Susanna,57,ATLETICA VARAZZE,Genova,15/02/2014
12:09.55,CHAMOIS Federica,98,ATLETICA COGNE AOSTA,Padova,18/01/2014
12:10.07,LUCAFERRO Manuela,63,ATL. VIGHENZI PADENGHE,Padova,18/01/2014
12:11.34,MEDIZZA Danila,61,TRIESTE ATLETICA,Ancona,07/03/2014
12:13.92,GAGLIARDI Elena,78,ATLETICA COGNE AOSTA,Padova,18/01/2014
12:32.59,ZAMBONI Alberta,69,ATL. AVIS MACERATA,Ancona,07/03/2014
12:35.47,EGGER Waltraud,50,SPORTCLUB MERAN ASV,Budapest,27/03/2014
12:37.16,CAMASSA Alessandra,55,C.U.S. LECCE,Ancona,07/03/2014
12:40.75,TRIONFI Bianca,66,ATLETICA DEI GELSI,Ancona,07/03/2014
12:43.51,TOMA Grazia,58,ASI ATL.MINNITI,Ancona,07/03/2014
12:49.20,EGGER Waltraud,50,SPORTCLUB MERAN ASV,Ancona,07/03/2014
12:55.24,PATTIS Rosa,52,A.S.D. SUEDTIROL TEAM CLUB,Ancona,07/03/2014
12:55.26,CORDIOLI Linda,96,ATL. INSIEME NEW FOODS VR,Padova,08/02/2014
12:56.19,PIRANI Valentina,76,ATLETICA SANTAMONICA MISANO,Ancona,07/03/2014
13:04.52,MILANESE Susanna,73,IDEALDOOR LIBERTAS S. BIAGIO,Ancona,07/03/2014
13:06.28,NARDI Rosanna,64,ATL. VIRTUS CASTENEDOLO,Ancona,07/03/2014
13:06.84,PAPETTI Giulia,97,PRO SESTO ATL.,Padova,18/01/2014
13:13.63,CHENOUI Aicha,98,POL. AMICIZIA CAORSO,Parma,25/01/2014
