,Prestazione,Atleta,Cat.,Anno,Società,Gara
60,8.84,GAVAZZENI Matteo,PM,2003,BG003 ATL. BERGAMO 1959 ORIOCENTER,https://www.fidal.it/risultati/2024/REG33673/Risultati/Gara202.html
61,8.85,PANCALDI Emanuele,PM,2004,BO506 A.S.D. PONTEVECCHIO BOLOGNA,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
62,8.85,DOZIO Matteo,SM,1998.0,CO208 ATL. LECCO-COLOMBO COSTRUZ.,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
63,8.88,TESI Lorenzo,PM,2004.0,PO149 ASD ATLETICA PRATO,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
64,8.88,MENGHI NDIAYE Yoro,PM,2002,MO052 A.S. LA FRATELLANZA 1874,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
65,8.89,CORONA Lorenzo,SM,1999,BL001 ATL.LONGARONE SINTECO,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
66,8.94,VANCHETTI Andrea,PM,2003.0,LI035 ATL.LIBERTAS UNICUSANO LIVORNO,https://www.fidal.it/risultati/2024/REG34208/Gara122.htm
67,8.94,NICOLA Riccardo,SM,1998,VC020 G.S. ERMENEGILDO ZEGNA,https://www.fidal.it/risultati/2024/REG33859/Risultati/Gara120.html
68,8.95,TIRABOSCHI Cristiano,PM,2004,BG795 BERGAMO STARS ATLETICA,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
69,8.96,FERRINI Giulio,PM,2004.0,SI043 UISP ATLETICA SIENA,https://www.fidal.it/risultati/2024/REG34208/Gara122.htm
70,9.07,PARSANI Luca,SM,2001.0,BG036 ATL. SALETTI,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
71,9.09,CLEMENTE Mattia,PM,2003,UD503 GEMONATLETICA S.R.L. DIL.,https://www.fidal.it/risultati/2024/REG33873/Risultati/Gara420.html
72,9.11,FRAGIACOMO Jan,SM,2000,TN131 LAGARINA CRUS TEAM,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
73,9.14,MANSANI Lorenzo,SM,1995.0,LI038 CENTRO ATLETICA PIOMBINO,https://www.fidal.it/risultati/2024/REG34208/Gara122.htm
74,9.14,RAI Luca,SM,2000,TS044 TRIESTE ATLETICA,https://www.fidal.it/risultati/2024/REG33868/Risultati/Gara020.html
75,9.17,ROCCO Mattia,SM,2001,CN005 ATL. MONDOVI'-ACQUA S.BERNARDO,https://www.fidal.it/risultati/2024/REG33860/Risultati/Gara109.html
76,9.18,LOMBARDI Tommaso,PM,2004,TO226 SAFATLETICA PIEMONTE ASD,https://www.fidal.it/risultati/2024/REG33860/Risultati/Gara109.html
77,9.19,ARTUSO Amos,PM,2004,VI614 GRUPPO ATLETICO BASSANO 1948,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
78,9.23,DEMICHELIS Simone,SM,1999,CN001 A.S.D. ATL. FOSSANO '75,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
79,9.24,FALUGIANI Niccolo',PM,2004.0,FI009 PROSPORT ATL. FIRENZE,https://www.fidal.it/risultati/2024/REG34208/Gara122.htm
80,9.24,ZOZZI Giacomo,PM,2004,FC038 EDERA ATL. FORLI,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
81,9.26,LIN Luca,PM,2003.0,OR225 DINAMICA SARDEGNA,https://www.fidal.it/risultati/2024/REG33752/Gara020.htm
82,9.27,IRRERA Lorenzo,SM,1998,RM046 ASD ACSI ATLETICA CAMPIDOGLIO,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
83,9.31,MORIGI Lorenzo,SM,2000,BO506 A.S.D. PONTEVECCHIO BOLOGNA,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
84,9.37,MARCONE Andrea,PM,2004.0,NA061 A.S.D. C.U.S. NAPOLI,https://www.fidal.it/risultati/2024/REG34127/Gara020.htm
85,9.39,MAGGIONI Giacomo,SM,2001.0,CO208 ATL. LECCO-COLOMBO COSTRUZ.,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
86,9.4,AVANZINI Giacomo,SM,2001.0,PR068 C.U.S. PARMA,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
87,9.42,PERUCH Filippo,PM,2003,TV409 VITTORIO ATLETICA,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
88,9.49,RICCI Gabriele,PM,2004,BO014 ATL. IMOLA SACMI AVIS,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
89,9.51,COSTOSI Lorenzo,SM,1999,RE105 G.S.SELF ATL. MONTANARI GRUZZA,https://www.fidal.it/risultati/2024/REG33817/Risultati/Gara020.html
90,9.73,FINCO Andrea,PM,2003,VI626 ATL.VICENTINA,https://www.fidal.it/risultati/2024/REG33841/Risultati/Gara222.html
91,9.87,BUCCI Paolo,PM,2002.0,SI361 ATLETICA 2005,https://www.fidal.it/risultati/2024/REG34208/Gara122.htm
92,10.03,SHENELENKO Onysym,SM,1994,PE001 ASD U.S. ATERNO PESCARA,https://www.fidal.it/risultati/2024/REG33658/Risultati/Gara020.html
93,10.11,RIBERI Alberto,SM,1999,CN001 A.S.D. ATL. FOSSANO '75,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
94,10.18,APARO Paolo,PM,2003,SR248 SIRACUSATLETICA,https://www.fidal.it/risultati/2024/REG33700/Risultati/Gara202.html
95,10.87,DE SANTIS CAPITANIO Cri,PM,2004,FR256 CUS CASSINO,https://www.fidal.it/risultati/2024/REG33797/Risultati/Gara722.html
96,11.57,MATTONE Andrea,SM,1995,NO020 TEAM ATLETICO-MERCURIO NOVARA,https://www.fidal.it/risultati/2024/REG33858/Risultati/Gara120.html
97,12.62,BAITELLI Raffaello,SM55,1967,BG511 ATL. VALLE IMAGNA,https://www.fidal.it/risultati/2024/REG33697/Risultati/Gara055.html
