Codice,Versione Sigma,Warning,Disciplina,Nome,Link
REG34144,Nuovo,,200m,200m Eso M5,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE42.html
REG34144,Nuovo,,60m,60m Eso F5,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE51.html
REG34144,Nuovo,,200m,200m Eso F5,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE52.html
REG34144,Nuovo,,1500m,1500m Adulti Donne + Juniores Donne + Allieve,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ03.html
REG34144,Nuovo,,1500m,1500m Juniores Uomini + Allievi,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ04.html
REG34144,Nuovo,,800m,800m Juniores Uomini + Allievi,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ08.html
REG34144,Nuovo,,800m,800m Adulti Donne + Juniores Donne + Allieve,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ09.html
REG34144,Nuovo,,4x200m,Staffetta 4x200 Adulti + Juniores +Allievi Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ10.html
REG34144,Nuovo,,4x200m,Staffetta 4x200 Adulti + Juniores +Allievi Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ11.html
REG34144,Nuovo,,3000m,3000m Adulti Uomini + Juniores Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ13.html
REG34144,Nuovo,,Marcia 3000m,Marcia 3000m Cadetti + Cadette,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ14.html
REG34144,Nuovo,,Marcia 3000m,Marcia 3 Km Adulti Uomini + Adulti Donne + Allieve,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ15.html
REG34144,Nuovo,,200m,200m Eso F5-8,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ18.html
REG34144,Nuovo,,200m,200m Eso M5-8,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ19.html
REG34144,Nuovo,,60m,60m Eso F5+M5,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ20.html
REG34144,Nuovo,,400m,400m Juniores Donne + Adulti Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ22.html
REG34144,Nuovo,,Salto in alto,Salto in alto Adulti Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara026.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Adulti Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara028.html
REG34144,Nuovo,,Salto in alto,Salto in alto Adulti Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara126.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Adulti Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara128.html
REG34144,Nuovo,,Salto in alto,Salto in alto Juniores Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara226.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Juniores Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara228.html
REG34144,Nuovo,,Salto in alto,Salto in alto Juniores Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara326.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Juniores Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara328.html
REG34144,Nuovo,,Salto in alto,Salto in alto Allievi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara426.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Allievi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara428.html
REG34144,Nuovo,,Salto in alto,Salto in alto Allieve,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara526.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Allieve,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara528.html
REG34144,Nuovo,,Salto in alto,Salto in alto Cadetti,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara626.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Cadetti,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara628.html
REG34144,Nuovo,,Salto in alto,Salto in alto Cadette,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara726.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Cadette,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara728.html
REG34144,Nuovo,,Salto in alto,Salto in alto Ragazzi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara826.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Ragazzi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara828.html
REG34144,Nuovo,,Salto in alto,Salto in alto Ragazze,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara926.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Ragazze,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara928.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Eso M10,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE03.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Eso F10,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE13.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Eso M8,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE23.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Eso F8,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE33.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Eso M5,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE43.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Eso F5,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE53.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Adulti Uomini + Juniores Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ01.html
REG34144,Nuovo,,Salto in lungo,Salto in lungo Adulti Donne + Juniores Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ02.html
REG34144,Nuovo,,Salto in alto,Salto in alto Adulti Donne + Juniores Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ07.html
REG34144,Nuovo,,Salto in alto,Salto in alto Adulti Uomini + Juniores Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ12.html
