Codice,Versione Sigma,Warning,Disciplina,Nome,Link
REG1654,Vecchissimo,,Salto triplo,Salto triplo/TJ Donne,https://www.fidal.it/risultati/2011/REG1654/Gara129.htm
REG1654,Vecchissimo,,60 Hs h100,60 Hs H 100 JM,https://www.fidal.it/risultati/2011/REG1654/Gara220.htm
REG1654,Vecchissimo,,60 Hs h91,60 Hs H 91-9.14 AM,https://www.fidal.it/risultati/2011/REG1654/Gara320.htm
REG1654,Vecchissimo,,60 Hs h76,60 Hs H 76-8.50 AF,https://www.fidal.it/risultati/2011/REG1654/Gara420.htm
REG1654,Vecchissimo,,altro,Risultati 1ª giornata,https://www.fidal.it/risultati/2011/REG1654/1giornata.htm
REG1654,Vecchissimo,,altro,Risultati 2ª giornata,https://www.fidal.it/risultati/2011/REG1654/2giornata.htm
REG1654,Vecchissimo,,altro,Tutti i risultati,https://www.fidal.it/risultati/2011/REG1654/Risultat.htm
REG1704,Vecchissimo,,60m,60 piani CADETTI,https://www.fidal.it/risultati/2011/REG1704/Gara001.htm
REG1704,Vecchissimo,,60 Hs h84,60 Hs H 84-8.00 CADETTI,https://www.fidal.it/risultati/2011/REG1704/Gara020.htm
REG1704,Vecchissimo,,Salto in alto,Salto in alto/HJ CADETTI,https://www.fidal.it/risultati/2011/REG1704/Gara026.htm
REG1704,Vecchissimo,,Salto con l'asta,Salto con l'asta/PV CADETTI,https://www.fidal.it/risultati/2011/REG1704/Gara027.htm
REG1704,Vecchissimo,,Salto triplo,Salto triplo/TJ CADETTI,https://www.fidal.it/risultati/2011/REG1704/Gara029.htm
REG1704,Vecchissimo,,60m,60 piani CADETTE,https://www.fidal.it/risultati/2011/REG1704/Gara101.htm
REG1704,Vecchissimo,,60 Hs h76,60 Hs H 76-8.00  CADETTE,https://www.fidal.it/risultati/2011/REG1704/Gara120.htm
REG1704,Vecchissimo,,Salto in alto,Salto in alto/HJ CADETTE,https://www.fidal.it/risultati/2011/REG1704/Gara126.htm
REG1704,Vecchissimo,,Salto con l'asta,Salto con l'asta/PV CADETTE,https://www.fidal.it/risultati/2011/REG1704/Gara127.htm
REG1704,Vecchissimo,,Salto triplo,Salto triplo/TJ CADETTE,https://www.fidal.it/risultati/2011/REG1704/Gara129.htm
REG1704,Vecchissimo,,60m,60 piani ALLIEVI,https://www.fidal.it/risultati/2011/REG1704/Gara301.htm
REG1704,Vecchissimo,,60 Hs h91,60 Hs H 91-9.14 ALLIEVI,https://www.fidal.it/risultati/2011/REG1704/Gara320.htm
REG1704,Vecchissimo,,Salto in alto,Salto in alto/HJ ALLIEVI,https://www.fidal.it/risultati/2011/REG1704/Gara326.htm
REG1704,Vecchissimo,,Salto con l'asta,Salto con l'asta/PV ALLIEVI,https://www.fidal.it/risultati/2011/REG1704/Gara327.htm
REG1704,Vecchissimo,,Salto triplo,Salto triplo/TJ ALLIEVI,https://www.fidal.it/risultati/2011/REG1704/Gara329.htm
REG1704,Vecchissimo,,60m,60 piani ALLIEVE,https://www.fidal.it/risultati/2011/REG1704/Gara401.htm
REG1704,Vecchissimo,,60 Hs h76,60 Hs H 76-8.50 ALLIEVE,https://www.fidal.it/risultati/2011/REG1704/Gara420.htm
REG1704,Vecchissimo,,Salto in alto,Salto in alto/HJ ALLIEVE,https://www.fidal.it/risultati/2011/REG1704/Gara426.htm
REG1704,Vecchissimo,,Salto triplo,Salto triplo/TJ ALLIEVE,https://www.fidal.it/risultati/2011/REG1704/Gara429.htm
REG1704,Vecchissimo,,60m,60 piani JPS UOMINI,https://www.fidal.it/risultati/2011/REG1704/Gara501.htm
REG1704,Vecchissimo,,60 Hs h100,60 Hs H 100 JUNIORES M,https://www.fidal.it/risultati/2011/REG1704/Gara518.htm
REG1704,Vecchissimo,,Salto in alto,Salto in alto/HJ UOMINI,https://www.fidal.it/risultati/2011/REG1704/Gara526.htm
REG1704,Vecchissimo,,Salto triplo,Salto triplo/TJ UOMINI,https://www.fidal.it/risultati/2011/REG1704/Gara529.htm
REG1704,Vecchissimo,,60m,60 piani DONNE,https://www.fidal.it/risultati/2011/REG1704/Gara601.htm
