Prest.,Vento,Atleta,Anno,Società,Città,Data
4.10,+0.8,STRAPPAZZON Irene,96,ANA ATL.FELTRE,Vicenza,19/05/2013
4.10,+0.2,TAMBURLIN Anna,00,ANA ATL.FELTRE,Rosa,18/09/2016
4.10,+0.7,DE BARBA Elena,04,ANA ATL.FELTRE,Abano Terme,31/07/2020
4.07,-0.5,ZANON Gaia,02,ANA ATL.FELTRE,Treviso,26/07/2020
4.07,-0.5,ZANON Gaia,02,ANA ATL.FELTRE,Treviso,26/07/2020
4.06,+1.0,DE RIZ Chiara,05,ANA ATL.FELTRE,Vicenza,09/05/2021
4.06,+1.0,DE RIZ Chiara,05,ANA ATL.FELTRE,Vicenza,09/05/2021
4.02,+0.8,MALACARNE Veronica,99,ANA ATL.FELTRE,Vicenza,03/05/2015
4.02,+0.8,MALACARNE Veronica,99,ANA ATL.FELTRE,Vicenza,03/05/2015
3.99,+1.2,SPADA Francesca,05,ANA ATL.FELTRE,Padova,24/04/2021
3.99,+1.2,SPADA Francesca,05,ANA ATL.FELTRE,Padova,24/04/2021
3.98,+0.9,DAL ZOTTO Benedetta,05,ANA ATL.FELTRE,Vicenza,09/05/2021
3.98,+0.9,DAL ZOTTO Benedetta,05,ANA ATL.FELTRE,Vicenza,09/05/2021
3.97,-0.8,DE RIZ Chiara,05,ANA ATL.FELTRE,Padova,24/04/2021
3.97,-0.8,DE RIZ Chiara,05,ANA ATL.FELTRE,Padova,24/04/2021
3.94,+0.7,PARTELI Elena,00,ANA ATL.FELTRE,Bussolengo,27/05/2018
3.94,+0.7,PARTELI Elena,00,ANA ATL.FELTRE,Bussolengo,27/05/2018
3.84,-0.1,PARTELI Elena,00,ANA ATL.FELTRE,Caorle,06/05/2018
3.84,-0.1,PARTELI Elena,00,ANA ATL.FELTRE,Caorle,06/05/2018
3.70,-0.4,ZATTA Alessia,93,ANA ATL.FELTRE,Rosa,24/05/2009
3.70,+1.3,PIOLO Carlotta,06,ANA ATL.FELTRE,Verona,08/05/2022
3.70,-0.4,ZATTA Alessia,93,ANA ATL.FELTRE,Rosa,24/05/2009
3.70,+1.3,PIOLO Carlotta,06,ANA ATL.FELTRE,Verona,08/05/2022
3.21,+1.2,FONTANA Stefania,94,ANA ATL.FELTRE,Verona,30/05/2010
3.21,+1.2,FONTANA Stefania,94,ANA ATL.FELTRE,Verona,30/05/2010
